           1  0.116996706    
           2   2.32210159E-02
           3   3.74960899E-03
           4   4.64141369E-04
           5   4.02331352E-05
           6   2.02655792E-06
           7   5.96046448E-08
           8   1.19209290E-07
           9   1.19209290E-07
          10   0.00000000    
          11   0.00000000    
          12  -1.19209290E-07
          13   1.19209290E-07
          14  -1.19209290E-07
          15  -5.24520874E-06
          16  -1.28984451E-04
          17  -1.97219849E-03
          18  -2.24981308E-02
          19 -0.220598221    
          20  -2.33993340    
