           1  0.174596906    
           2   5.40707111E-02
           3   1.44047737E-02
           4   3.16017866E-03
           5   5.34594059E-04
           6   6.26444817E-05
           7   4.23192978E-06
           8   1.78813934E-07
           9   1.19209290E-07
          10   0.00000000    
          11   0.00000000    
          12   1.19209290E-07
          13   0.00000000    
          14   8.46385956E-06
          15   1.56760216E-04
          16   1.71065331E-03
          17   1.34305954E-02
          18   8.64291191E-02
          19  0.513670444    
          20   3.49193525    
