           1  0.260554969    
           2  0.125905097    
           3   5.53376079E-02
           4   2.15183496E-02
           5   7.10046291E-03
           6   1.85889006E-03
           7   3.42905521E-04
           8   3.51071358E-05
           9   1.13248825E-06
          10   0.00000000    
          11   0.00000000    
          12  -1.43051147E-06
          13  -5.68628311E-05
          14  -6.85930252E-04
          15  -4.64737415E-03
          16  -2.27212906E-02
          17  -9.14528370E-02
          18 -0.332025528    
          19  -1.19609690    
          20  -5.21109581    
