 # t NA NB NA_analytic NB_analytic dNA dNB
   5.0000000000000003E-002   951.21753024232942        48.154577545007321        951.22942450071400        48.160975055237202       -1.1894258384586465E-002  -6.3975102298812203E-003
  0.10000000000000001        904.81478984031662        92.770968319555777        904.83741803595956        92.784012929509004       -2.2628195642937499E-002  -1.3044609953226427E-002
  0.14999999999999999        860.67568971863773        134.05113611368171        860.70797642505784        134.07101980699011       -3.2286706420109113E-002  -1.9883693308401007E-002
  0.20000000000000001        818.68980391377534        172.18646737764240        818.73075307798183        172.21332991595540       -4.0949164206494970E-002  -2.6862538312997231E-002
  0.25000000000000000        778.75209331343774        207.35830511436680        778.80078307140491        207.39223902638116       -4.8689757967167679E-002  -3.3933912014362022E-002
  0.29999999999999999        740.76264287265178        239.73845628521417        740.81822068171789        239.77951148667987       -5.5577809066107875E-002  -4.1055201465695745E-002
  0.35000000000000003        704.62641164910440        269.48967403204466        704.68808971871340        269.53786210098787       -6.1678069609001795E-002  -4.8188068943204598E-002
  0.40000000000000002        670.25299503237636        296.76611595477465        670.32004603563928        296.82141408468499       -6.7051003262918130E-002  -5.5298129910340776E-002
  0.45000000000000001        637.55639857222138        321.71377962286726        637.62815162177333        321.77613427520748       -7.1753049551944059E-002  -6.2354652340218308E-002
  0.50000000000000000        606.45482284006243        344.47091644147872        606.53065971263345        344.54024671754291       -7.5836872571017011E-002  -6.9330276064192731E-002
  0.55000000000000004        576.87045878547337        365.16842493804381        576.94981038048661        365.24462568896365       -7.9351595013235965E-002  -7.6200750919838356E-002
  0.59999999999999998        548.72929307567722        383.93022448286524        548.81163609402654        384.01316917538276       -8.2343018349320118E-002  -8.2944692517514795E-002
  0.65000000000000002        521.96092293106415        400.87361040756718        522.04577676101610        400.96315376211231       -8.4853829951953230E-002  -8.9543354545128295E-002
  0.70000000000000007        496.49837999349347        416.10959143805246        496.58530379140944        416.20557185460791       -8.6923797915972045E-002  -9.5980416555448755E-002
  0.75000000000000000        472.27796278672832        429.74321031362626        472.36655274101469        429.84545209991506       -8.8589954286362627E-002 -0.10224178628880054     
  0.80000000000000004        449.23907734987034        441.87384842123595        449.32896411722157        441.98216383683553       -8.9886767351231356E-002 -0.10831541559957714     
  0.84999999999999998        427.32408564508620        452.59551523310483        427.41493194872669        452.70970636224115       -9.0846303640489623E-002 -0.11419112913631579     
  0.90000000000000002        406.47816136038034        461.99712329738145        406.56965974059909        462.11698376234847       -9.1498380218752118E-002 -0.11986046496701874     
  0.95000000000000007        386.64915274666407        470.16274949464872        386.74102345450120        470.28806602103765       -9.1870707837131249E-002 -0.12531652638892865     
   1.0000000000000000        367.78745214597080        477.17188323817169        367.87944117144235        477.30243708238220       -9.1989025471548302E-002 -0.13055384421051031     
   1.0500000000000000        349.84587188440901        483.09966226248520        349.93774911115531        483.23523051131957       -9.1877226746305496E-002 -0.13556824883437457     
   1.1000000000000001        332.77952621936168        488.01709661329983        332.87108369807953        488.15745336481422       -9.1557478717845697E-002 -0.14035675151438909     
   1.1500000000000001        316.54571904559356        491.99128142161555        316.63676937905313        492.13619885580505       -9.1050333459577359E-002 -0.14491743418949454     
   1.2000000000000000        301.10383707933153        495.08559901630520        301.19421191220215        495.23484836364872       -9.0374832870622868E-002 -0.14924934734352746     
   1.2500000000000000        286.41524825309040        497.35991090223121        286.50479686019008        497.51326331760038       -8.9548607099686706E-002 -0.15335241536917010     
   1.3000000000000000        272.44320506704821        498.87074010506734        272.53179303401259        499.02796745400690       -8.8587966964382758E-002 -0.15722734893955703     
   1.3500000000000001        259.15275265518204        499.67144435937934        259.24026064589151        499.83231992331531       -8.7507990709468686E-002 -0.16087556393597424     
   1.4000000000000001        246.51064133616327        499.81238059311340        246.59696394160645        499.97667969960605       -8.6322605443172051E-002 -0.16429910649264912     
   1.4500000000000000        234.48524343023772        499.34106113937128        234.57028809379764        499.50856172312962       -8.5044663559926903E-002 -0.16750058375833987     
   1.5000000000000000        223.04647413398212        498.30230208517969        223.13016014842981        498.47278518516976       -8.3686014447692969E-002 -0.17048309999006506     
   1.5500000000000000        212.16571625498597        496.73836414681915        212.24797382674305        496.91161434444552       -8.2257571757082815E-002 -0.17325019762637339     
   1.6000000000000001        201.81574861816270        494.68908644213172        201.89651799465540        494.86489224513235       -8.0769376492696665E-002 -0.17580580300062820     
   1.6500000000000001        191.97067796457543        492.19201351200473        192.04990862075408        492.37016768839021       -7.9230656178651770E-002 -0.17815417638547615     
   1.7000000000000000        182.60587417240879        489.28251592591403        182.68352405273467        489.46281579198410       -7.7649880325878939E-002 -0.18029986607007231     
   1.7500000000000000        173.69790863802015        485.99390478993149        173.77394345044513        486.17615245612649       -7.6034812424978782E-002 -0.18224766619499633     
   1.8000000000000000        165.22449566291525        482.35754045993446        165.29888822158654        482.54154303802517       -7.4392558671291908E-002 -0.18400257809071263     
   1.8500000000000001        157.16443670001263        478.40293574786097        157.23716631362760        478.58850552273049       -7.2729613614967548E-002 -0.18556977486952064     
   1.9000000000000001        149.49756731971286        474.15785389468152        149.56861922263502        474.34480846373231       -7.1051902922164345E-002 -0.18695456905078345     
   1.9500000000000000        142.20470676309355        469.64840157028459        142.27407158651360        469.83656395328671       -6.9364823420045241E-002 -0.18816238300212262     
   2.0000000000000000        135.26760995602450        464.89911714765702        135.33528323661270        465.08831586965925       -6.7673280588195439E-002 -0.18919872200223153     
   2.0499999999999998        128.66892186415237        459.93305448655912        128.73490358780424        460.12312363629474       -6.5981723651873381E-002 -0.19006914973562061     
